### MNXref Version 18/02/2013 ###
#
#FILE:	comp_xref.tsv
#
#RESOURCE:	The Gene Ontology
#PREFIX:	go
#URL:	http://www.geneontology.org
#VERSION:	09/06/2012
#LICENSE:	The GO Consortium gives permission for any of its products to be used 
#	without license for any purpose under three conditions: 
#	 1- That the Gene Ontology Consortium is clearly acknowledged as the source of 
#	the product; 
#	 2- That any GO Consortium file(s) displayed publicly include the date(s) and/or 
#	version number(s) of the relevant GO file(s) (the GO is evolving and changes will 
#	occur with time); 
#	 3- That neither the content of the GO file(s) nor the logical relationships embedded 
#	within the GO file(s) be altered in any way. 
#	(http://www.geneontology.org/GO.cite.shtml) 
#
#RESOURCE:	The Cell Component Ontology
#PREFIX:	cco
#URL:	http://bioinformatics.ai.sri.com/CCO/
#VERSION:	Version 16.5
#LICENSE:	MetaCyc data are free and open for all users. 
#	(http://biocyc.org/download.shtml) 
#
#RESOURCE:	BiGG
#PREFIX:	bigg
#URL:	http://bigg.ucsd.edu
#VERSION:	10/12/2012
#LICENSE:	Permission to use, copy, modify and distribute any part of this BiGG Database 
#	for educational, research and non-profit purposes, without fee, and without a 
#	written agreement is granted, provided that the above copyright notice, this paragraph 
#	and the following three paragraphs appear in all copies. 
#	Those desiring to incorporate this BiGG database into commercial products or use 
#	for commercial purposes should contact the Technology Transfer & Intellectual 
#	Property Services, University of California, San Diego, 9500 Gilman Drive, Mail 
#	Code 0910, La Jolla, CA 92093-0910, Ph: (858) 534-5815, FAX: (858) 534-7345, e-mail:invent@ucsd.edu. 
#	IN NO EVENT SHALL THE UNIVERSITY OF CALIFORNIA BE LIABLE TO ANY PARTY FOR DIRECT, 
#	INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES, INCLUDING LOST PROFITS, 
#	ARISING OUT OF THE USE OF THIS BIGG DATABASE, EVEN IF THE UNIVERSITY OF CALIFORNIA 
#	HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE. 
#	THE BIGG DATABASE PROVIDED HEREIN IS ON AN "AS IS" BASIS, AND THE UNIVERSITY OF 
#	CALIFORNIA HAS NO OBLIGATION TO PROVIDE MAINTENANCE, SUPPORT, UPDATES, ENHANCEMENTS, 
#	OR MODIFICATIONS. THE UNIVERSITY OF CALIFORNIA MAKES NO REPRESENTATIONS AND EXTENDS 
#	NO WARRANTIES OF ANY KIND, EITHER IMPLIED OR EXPRESS, INCLUDING, BUT NOT LIMITED 
#	TO, THE IMPLIED WARRANTIES OF MERCHANTABILITY OR FITNESS FOR A PARTICULAR PURPOSE, 
#	OR THAT THE USE OF THE BIGG DATABASE WILL NOT INFRINGE ANY PATENT, TRADEMARK OR 
#	OTHER RIGHTS. 
#	(http://bigg.ucsd.edu/) 
#
#
#XREF	MNX_ID	Description
go:0009327	MNXC1	NAD(P)+ transhydrogenase complex (AB-specific)
go:0009328	MNXC3	phenylalanine-tRNA ligase complex
go:0009329	MNXC3	acetate CoA-transferase complex
go:0009330	MNXC1	DNA topoisomerase complex (ATP-hydrolyzing)
go:0009331	MNXC3	glycerol-3-phosphate dehydrogenase complex
go:0009332	MNXC3	glutamate-tRNA ligase complex
go:0009333	MNXC3	cysteine synthase complex
go:0009334	MNXC1	3-phenylpropionate dioxygenase complex
go:0009335	MNXC1	holo-[acyl-carrier protein] synthase complex|holo-ACP synthase complex
go:0009336	MNXC3	sulfate adenylyltransferase complex (ATP)|sulphate adenylyltransferase complex (ATP)
go:0009337	MNXC1	sulfite reductase complex (NADPH)|sulphite reductase complex (NADPH)
go:0009338	MNXC1	exodeoxyribonuclease V complex
go:0009339	MNXC3	glycolate oxidase complex
go:0009340	MNXC3	DNA topoisomerase IV complex
go:0009341	MNXC1	beta-galactosidase complex
go:0009342	MNXC1	glutamate synthase complex (NADPH)
go:0009343	MNXC3	biotin carboxylase complex
go:0009344	MNXC1	nitrite reductase complex [NAD(P)H]
go:0009345	MNXC3	glycine-tRNA ligase complex|glycine-tRNA synthetase complex
go:0009346	MNXC3	citrate lyase complex
go:0009347	MNXC1	aspartate carbamoyltransferase complex
go:0009348	MNXC3	ornithine carbamoyltransferase complex
go:0009349	MNXC1	riboflavin synthase complex
go:0009350	MNXC1	ethanolamine ammonia-lyase complex
go:0009351	MNXC1	dihydrolipoamide S-acyltransferase complex
go:0009352	MNXC1	dihydrolipoyl dehydrogenase complex|dihydrolipoamide dehydrogenase complex
go:0009353	MNXC4	mitochondrial oxoglutarate dehydrogenase complex
go:0009354	MNXC1	dihydrolipoamide S-succinyltransferase complex
go:0009355	MNXC1	DNA polymerase V complex
go:0009356	MNXC1	aminodeoxychorismate synthase complex|ADC synthase complex
go:0009357	MNXC3	protein-N(PI)-phosphohistidine-sugar phosphotransferase complex
go:0009358	MNXC1	polyphosphate kinase complex
go:0009359	MNXC3	Type II site-specific deoxyribonuclease complex|Type II restriction enzyme complex
go:0009360	MNXC1	DNA polymerase III complex
go:0009361	MNXC3	succinate-CoA ligase complex (ADP-forming)|succinyl-CoA synthetase, ADP-forming
go:0009365	MNXC1	protein histidine kinase complex
go:0009366	MNXC1	enterobactin synthetase complex|enterochelin synthetase complex
go:0009367	MNXC1	prepilin peptidase complex
go:0009368	MNXC1	endopeptidase Clp complex
go:0009375	MNXC1	ferredoxin hydrogenase complex
go:0009376	MNXC3	HslUV protease complex|ClpYQ protease complex
go:0009379	MNXC1	Holliday junction helicase complex
go:0009380	MNXC1	excinuclease repair complex|UvrABC excinuclease complex|excinuclease ABC complex
go:0009382	MNXC3	imidazoleglycerol-phosphate synthase complex|imidazoleglycerol phosphate synthase complex
go:0009390	MNXC1	dimethyl sulfoxide reductase complex|dimethyl sulphoxide reductase complex
go:0009417	MNXC1	fimbrin
go:0009418	MNXC1	pilus shaft|fimbrial shaft
go:0009419	MNXC1	pilus tip|fimbrial tip
go:0009420	MNXC28	bacterial-type flagellum filament|flagellar filament|flagellin-based flagellum filament
go:0009421	MNXC28	bacterial-type flagellum filament cap|flagellar filament cap|flagellin-based flagellum filament cap
go:0009422	MNXC28	bacterial-type flagellum hook-filament junction|flagellar hook-filament junction
go:0009424	MNXC28	bacterial-type flagellum hook|flagellin-based flagellum hook|flagellar hook
go:0009425	MNXC28	bacterial-type flagellum basal body|flagellin-based flagellum basal body
go:0009426	MNXC28	bacterial-type flagellum basal body, distal rod|flagellar basal body, distal rod|flagellin-based flagellum basal body, distal rod
go:0009427	MNXC28	bacterial-type flagellum basal body, distal rod, L ring|flagellar basal body, distal rod, L ring|flagellin-based flagellum basal body, distal rod, L ring
go:0009428	MNXC28	bacterial-type flagellum basal body, distal rod, P ring|flagellin-based flagellum basal body, distal rod, P ring
go:0009429	MNXC28	bacterial-type flagellum basal body, proximal rod|flagellar basal body, proximal rod|flagellin-based flagellum basal body, proximal rod
go:0009431	MNXC28	bacterial-type flagellum basal body, MS ring|flagellin-based flagellum basal body, MS ring|flagellar basal body, MS ring
go:0009433	MNXC28	bacterial-type flagellum basal body, C ring|flagellar basal body, C ring|flagellin-based flagellum basal body, C ring
go:0009434	MNXC28	microtubule-based flagellum
go:0009501	MNXC18	amyloplast
go:0009502	MNXC1	photosynthetic electron transport chain
go:0009503	MNXC8	thylakoid light-harvesting complex
go:0009504	MNXC3	cell plate
go:0009505	MNXC22	plant-type cell wall|cellulose and pectin-containing cell wall
go:0009506	MNXC1	plasmodesma|plasmodesmata
go:0009507	MNXC8	chloroplast
go:0009508	MNXC18	plastid chromosome
go:0009509	MNXC18	chromoplast
go:0009510	MNXC20	plasmodesmatal desmotubule
go:0009511	MNXC11	plasmodesmatal endoplasmic reticulum|plasmodesmatal ER
go:0009512	MNXC1	cytochrome b6f complex|cytochrome b6-f complex|cyt b(6)f complex|cyt b6f complex|cyt b6/f complex|cyt b6-f complex|cytochrome b6/f complex|cytochrome b(6)f complex
go:0009513	MNXC18	etioplast
go:0009514	MNXC24	glyoxysome
go:0009515	MNXC8	granal stacked thylakoid|chloroplast stacked thylakoid
go:0009516	MNXC18	leucoplast
go:0009517	MNXC8	PSII associated light-harvesting complex II|LHCII
go:0009518	MNXC8	PSI associated light-harvesting complex I|LHCI
go:0009519	MNXC1	middle lamella
go:0009521	MNXC1	photosystem
go:0009522	MNXC1	photosystem I
go:0009523	MNXC1	photosystem II
go:0009524	MNXC3	phragmoplast
go:0009525	MNXC3	phragmosome
go:0009526	MNXC18	plastid envelope
go:0009527	MNXC21	plastid outer membrane
go:0009528	MNXC18	plastid inner membrane
go:0009529	MNXC18	plastid intermembrane space|plastid envelope lumen
go:0009530	MNXC22	primary cell wall
go:0009531	MNXC22	secondary cell wall
go:0009532	MNXC18	plastid stroma
go:0009533	MNXC8	chloroplast stromal thylakoid
go:0009534	MNXC8	chloroplast thylakoid
go:0009535	MNXC8	chloroplast thylakoid membrane
go:0009536	MNXC18	plastid
go:0009537	MNXC18	proplastid
go:0009538	MNXC1	photosystem I reaction center|photosystem I reaction centre
go:0009539	MNXC1	photosystem II reaction center|photosystem II reaction centre
go:0009541	MNXC18	etioplast prolamellar body
go:0009542	MNXC8	granum
go:0009543	MNXC8	chloroplast thylakoid lumen
go:0009544	MNXC8	chloroplast ATP synthase complex
go:0009545	MNXC18	elaioplast
go:0009546	MNXC20	plasmodesmatal cytoplasmic sleeve|plasmodesmatal cytoplasmic annulus
go:0009547	MNXC18	plastid ribosome
go:0009548	MNXC20	plasmodesmatal plasma membrane
go:0009549	MNXC22	cellulose microfibril
go:0009550	MNXC1	primary plasmodesma|simple plasmodesma
go:0009551	MNXC1	secondary plasmodesma
go:0009568	MNXC18	amyloplast starch grain|amyloplast starch granule
go:0009569	MNXC8	chloroplast starch grain|chloroplast starch granule
go:0009570	MNXC8	chloroplast stroma
go:0009571	MNXC18	proplastid stroma
go:0009573	MNXC8	chloroplast ribulose bisphosphate carboxylase complex|chloroplast RubisCO complex
go:0009574	MNXC3	preprophase band
go:0009575	MNXC18	chromoplast stroma
go:0009576	MNXC18	leucoplast stroma
go:0009577	MNXC18	elaioplast stroma
go:0009578	MNXC18	etioplast stroma
go:0009579	MNXC1	thylakoid
go:0009580	MNXC1	thylakoid (sensu Bacteria)
go:0009654	MNXC1	oxygen evolving complex
go:0009655	MNXC8	PSII associated light-harvesting complex II, core complex
go:0009656	MNXC8	PSII associated light-harvesting complex II, peripheral complex
go:0009705	MNXC10	plant-type vacuole membrane|tonoplast|membrane of vacuole with cell cycle-independent morphology
go:0009706	MNXC8	chloroplast inner membrane|chloroplast inner envelope
go:0009707	MNXC21	chloroplast outer membrane|chloroplast outer envelope
go:0009782	MNXC1	photosystem I antenna complex
go:0009783	MNXC1	photosystem II antenna complex
go:0009839	MNXC1	SCF complex substrate recognition subunit
go:0009840	MNXC8	chloroplastic endopeptidase Clp complex
go:0009841	MNXC4	mitochondrial endopeptidase Clp complex
go:0009842	MNXC18	cyanelle|cyanoplast|muroplast
go:0009843	MNXC18	cyanelle thylakoid
go:0009897	MNXC20	external side of plasma membrane|outer surface of cytoplasmic membrane
go:0009898	MNXC20	internal side of plasma membrane
go:0009921	MNXC20	auxin efflux carrier complex
go:0009923	MNXC12	fatty acid elongase complex
go:0009925	MNXC20	basal plasma membrane
go:0009930	MNXC1	longitudinal side of cell surface
go:0009941	MNXC8	chloroplast envelope
go:0009986	MNXC1	cell surface|cell bound|cell associated
go:0010005	MNXC3	cortical microtubule, transverse to long axis
go:0010006	MNXC8	Toc complex
go:0010007	MNXC8	magnesium chelatase complex
go:0010008	MNXC3	endosome membrane
go:0010009	MNXC1	external side of endosome membrane
go:0010168	MNXC1	ER body|endoplasmic reticulum body
go:0010169	MNXC3	thioglucosidase complex|myrosinase complex
go:0010170	MNXC1	glucose-1-phosphate adenylyltransferase complex
go:0010240	MNXC18	plastid pyruvate dehydrogenase complex
go:0010278	MNXC8	chloroplast outer membrane translocon
go:0010282	MNXC9	senescence-associated vacuole|senescence associated vacuole
go:0010287	MNXC8	plastoglobule|PG|plastoglobuli
go:0010316	MNXC1	pyrophosphate-dependent phosphofructokinase complex
go:0010317	MNXC1	pyrophosphate-dependent phosphofructokinase complex, alpha-subunit complex
go:0010318	MNXC1	pyrophosphate-dependent phosphofructokinase complex, beta-subunit complex
go:0010319	MNXC18	stromule
go:0010330	MNXC1	cellulose synthase complex|CESA complex
go:0010339	MNXC22	external side of cell wall
go:0010367	MNXC2	extracellular isoamylase complex
go:0010368	MNXC8	chloroplast isoamylase complex
go:0010369	MNXC1	chromocenter
go:0010370	MNXC1	perinucleolar chromocenter
go:0010445	MNXC6	nuclear dicing body|D body
go:0010494	MNXC3	cytoplasmic stress granule|stress granule|cytoplasmic mRNP granule
go:0010598	MNXC1	NAD(P)H dehydrogenase complex (plastoquinone)
go:0012505	MNXC1	endomembrane system
go:0012506	MNXC1	vesicle membrane
go:0012507	MNXC3	ER to Golgi transport vesicle membrane|ER-Golgi transport vesicle membrane|ER to Golgi constitutive secretory pathway transport vesicle membrane|endoplasmic reticulum-Golgi transport vesicle membrane|endoplasmic reticulum to Golgi transport vesicle membrane|COPII coated vesicle membrane
go:0012508	MNXC16	Golgi to ER transport vesicle membrane|Golgi-endoplasmic reticulum transport vesicle membrane|Golgi to ER constitutive secretory pathway transport vesicle membrane|Golgi-ER transport vesicle membrane|Golgi to endoplasmic reticulum transport vesicle membrane
go:0012509	MNXC16	inter-Golgi transport vesicle membrane|inter-Golgi transport constitutive secretory pathway transport vesicle membrane
go:0012510	MNXC16	trans-Golgi network transport vesicle membrane|TGN transport vesicle membrane|trans-Golgi network constitutive secretory pathway transport vesicle membrane
go:0012511	MNXC3	monolayer-surrounded lipid storage body|oil body|spherosome|oleosome|oilbody
go:0014069	MNXC1	postsynaptic density|post-synaptic density|post synaptic density
go:0014701	MNXC12	junctional sarcoplasmic reticulum membrane
go:0014702	MNXC12	free sarcoplasmic reticulum membrane
go:0014704	MNXC1	intercalated disc|intercalated disk
go:0014705	MNXC3	C zone
go:0014731	MNXC1	spectrin-associated cytoskeleton
go:0014801	MNXC11	longitudinal sarcoplasmic reticulum
go:0014802	MNXC11	terminal cisterna
go:0014803	MNXC11	longitudinal sarcoplasmic reticulum lumen
go:0014804	MNXC11	terminal cisterna lumen
go:0015030	MNXC6	Cajal body|Gems|coiled body
go:0015050	MNXC1	methane monooxygenase complex
go:0015627	MNXC1	type II protein secretion system complex|T2SS-associated complexes|MTB|main terminal branch
go:0015629	MNXC1	actin cytoskeleton
go:0015630	MNXC1	microtubule cytoskeleton
go:0015934	MNXC1	large ribosomal subunit|ribosomal large subunit
go:0015935	MNXC1	small ribosomal subunit|ribosomal small subunit
go:0016006	MNXC4	Nebenkern
go:0016007	MNXC4	mitochondrial derivative
go:0016008	MNXC4	major mitochondrial derivative
go:0016009	MNXC4	minor mitochondrial derivative
go:0016010	MNXC20	dystrophin-associated glycoprotein complex|dystrophin glycoprotein complex|DGC
go:0016011	MNXC20	dystroglycan complex
go:0016012	MNXC20	sarcoglycan complex|sarcoglycan-sarcospan complex
go:0016013	MNXC20	syntrophin complex
go:0016014	MNXC20	dystrobrevin complex
go:0016020	MNXC1	membrane
go:0016021	MNXC1	integral to membrane
go:0016023	MNXC3	cytoplasmic membrane-bounded vesicle|cytoplasmic membrane bounded vesicle|cytoplasmic membrane-enclosed vesicle
go:0016027	MNXC20	inaD signaling complex|inaD signalling complex
go:0016028	MNXC1	rhabdomere
go:0016029	MNXC11	subrhabdomeral cisterna|submicrovillar cisterna
go:0016035	MNXC1	zeta DNA polymerase complex
go:0016222	MNXC11	procollagen-proline 4-dioxygenase complex|procollagen-proline, 2-oxoglutarate-4-dioxygenase complex
go:0016234	MNXC1	inclusion body
go:0016235	MNXC1	aggresome
go:0016272	MNXC3	prefoldin complex
go:0016281	MNXC3	eukaryotic translation initiation factor 4F complex|eIF-4F
go:0016282	MNXC3	eukaryotic 43S preinitiation complex|eukaryotic 43S pre-initiation complex
go:0016323	MNXC20	basolateral plasma membrane
go:0016324	MNXC20	apical plasma membrane
go:0016327	MNXC20	apicolateral plasma membrane
go:0016328	MNXC20	lateral plasma membrane
go:0016341	MNXC1	other collagen
go:0016342	MNXC20	catenin complex
go:0016363	MNXC6	nuclear matrix|nucleoskeleton
go:0016442	MNXC1	RNA-induced silencing complex|RISC complex
go:0016456	MNXC6	X chromosome located dosage compensation complex, transcription activating
go:0016459	MNXC1	myosin complex
go:0016460	MNXC1	myosin II complex
go:0016461	MNXC1	unconventional myosin complex
go:0016465	MNXC3	chaperonin ATPase complex
go:0016469	MNXC1	proton-transporting two-sector ATPase complex|hydrogen-transporting two-sector ATPase complex
go:0016471	MNXC10	vacuolar proton-transporting V-type ATPase complex|vacuolar hydrogen-translocating V-type ATPase complex
go:0016472	MNXC1	sodium ion-transporting two-sector ATPase complex|sodium-transporting two-sector ATPase complex
go:0016473	MNXC1	sodium ion-transporting F-type ATPase complex|sodium-translocating F-type ATPase complex
go:0016474	MNXC1	sodium ion-transporting V-type ATPase complex|sodium-translocating V-type ATPase complex
go:0016507	MNXC4	mitochondrial fatty acid beta-oxidation multienzyme complex
go:0016513	MNXC6	core-binding factor complex|CBF complex
go:0016514	MNXC6	SWI/SNF complex|SWI-SNF complex
go:0016516	MNXC20	interleukin-4 receptor complex|IL-4 receptor complex
go:0016528	MNXC3	sarcoplasm
go:0016529	MNXC11	sarcoplasmic reticulum
go:0016533	MNXC6	cyclin-dependent protein kinase 5 holoenzyme complex
go:0016580	MNXC6	Sin3 complex
go:0016581	MNXC6	NuRD complex|nucleosome remodeling and histone deacetylation complex|Mi-2 complex|NRD complex
go:0016585	MNXC6	chromatin remodeling complex|nucleosome remodeling complex|chromatin remodelling complex
go:0016586	MNXC6	RSC complex
go:0016587	MNXC6	ISW1 complex
go:0016589	MNXC6	NURF complex|nucleosome remodeling factor complex
go:0016590	MNXC6	ACF complex|ATP-utilizing chromatin assembly and remodeling factor complex
go:0016591	MNXC6	DNA-directed RNA polymerase II, holoenzyme
go:0016592	MNXC6	mediator complex|L mediator complex|Srb-mediator complex
go:0016593	MNXC6	Cdc73/Paf1 complex|Paf1p complex|Paf1 complex
go:0016600	MNXC20	flotillin complex
go:0016602	MNXC6	CCAAT-binding factor complex
go:0016604	MNXC6	nuclear body
go:0016605	MNXC6	PML body|ND10|PML nuclear body|PML NB
go:0016606	MNXC6	LYSP100-associated nuclear domain|LANDs
go:0016607	MNXC6	nuclear speck|nuclear speckles|nuclear speckle|splicing speckle
go:0016610	MNXC1	nitrogenase complex
go:0016611	MNXC1	iron-iron nitrogenase complex
go:0016612	MNXC1	molybdenum-iron nitrogenase complex
go:0016613	MNXC1	vanadium-iron nitrogenase complex
go:0016914	MNXC2	follicle-stimulating hormone complex|FSH complex|follicle stimulating hormone complex
go:0016935	MNXC20	glycine-gated chloride channel complex
go:0016938	MNXC1	kinesin I complex
go:0016939	MNXC1	kinesin II complex
go:0016942	MNXC2	insulin-like growth factor binding protein complex|IGF binding protein complex
go:0017023	MNXC1	myosin phosphatase complex
go:0017052	MNXC1	insulin-like growth factor binding protein
go:0017053	MNXC6	transcriptional repressor complex
go:0017054	MNXC6	negative cofactor 2 complex
go:0017059	MNXC12	serine C-palmitoyltransferase complex
go:0017071	MNXC1	intracellular cyclic nucleotide activated cation channel complex
go:0017086	MNXC4	3-methyl-2-oxobutanoate dehydrogenase (lipoamide) complex|branched-chain alpha-ketoacid dehydrogenase complex|BCADH
go:0017087	MNXC4	mitochondrial processing peptidase complex
go:0017090	MNXC1	meprin A complex|PABA peptide hydrolase complex
go:0017101	MNXC1	aminoacyl-tRNA synthetase multienzyme complex|multisynthetase complex|aminoacyl-tRNA synthetase complex
go:0017102	MNXC3	methionyl glutamyl tRNA synthetase complex
go:0017109	MNXC3	glutamate-cysteine ligase complex|gamma-glutamylcysteine synthetase complex
go:0017117	MNXC1	single-stranded DNA-dependent ATP-dependent DNA helicase complex|ssDNA-dependent ATP-dependent DNA helicase complex
go:0017119	MNXC15	Golgi transport complex|conserved oligomeric Golgi complex|COG complex
go:0017122	MNXC1	protein N-acetylglucosaminyltransferase complex|O-GlcNAc transferase complex|UDP-N-acetylglucosamine-peptide N-acetylglucosaminyltransferase
go:0017133	MNXC4	mitochondrial electron transfer flavoprotein complex
go:0017146	MNXC20	N-methyl-D-aspartate selective glutamate receptor complex|NMDA-selective glutamate receptor
go:0017177	MNXC11	glucosidase II complex
go:0018444	MNXC3	translation release factor complex|eukaryotic peptide chain release factor
go:0018995	MNXC2	host|host organism
go:0018998	MNXC1	metaxin
go:0019005	MNXC1	SCF ubiquitin ligase complex|CDL1 complex|cullin-RING ligase 1|Skp1/Cul1/F-box protein complex|CRL1 complex|Cul1-RING ubiquitin ligase complex|SCF complex
go:0019008	MNXC1	molybdopterin synthase complex|molybdopterin converting factor complex
go:0019012	MNXC27	virion|complete virus particle
go:0019013	MNXC27	viral nucleocapsid|nucleocapsid
go:0019015	MNXC27	viral genome
go:0019016	MNXC27	non-segmented viral genome
go:0019017	MNXC27	segmented viral genome
go:0019018	MNXC27	bipartite viral genome
go:0019019	MNXC27	tripartite viral genome
go:0019020	MNXC27	multipartite viral genome
go:0019021	MNXC27	DNA viral genome
go:0019022	MNXC27	RNA viral genome
go:0019023	MNXC27	dsRNA viral genome
go:0019024	MNXC27	ssRNA viral genome
go:0019025	MNXC27	positive sense viral genome
go:0019026	MNXC27	negative sense viral genome
go:0019027	MNXC27	ambisense viral genome
go:0019028	MNXC27	viral capsid
go:0019029	MNXC27	helical viral capsid
go:0019030	MNXC27	icosahedral viral capsid|quasispherical viral capsid
go:0019031	MNXC27	viral envelope|viral membrane
go:0019032	MNXC1	viral glycoprotein
go:0019033	MNXC27	viral tegument
go:0019034	MNXC6	viral replication complex
go:0019035	MNXC6	viral integration complex
go:0019036	MNXC6	viral transcriptional complex
go:0019037	MNXC3	viral assembly intermediate
go:0019038	MNXC26	provirus
go:0019183	MNXC20	histamine-gated chloride channel complex
go:0019185	MNXC6	snRNA-activating protein complex|SNAPc
go:0019197	MNXC3	phosphoenolpyruvate-dependent sugar phosphotransferase complex
go:0019717	MNXC1	synaptosome
go:0019718	MNXC1	rough microsome
go:0019719	MNXC1	smooth microsome
go:0019773	MNXC1	proteasome core complex, alpha-subunit complex
go:0019774	MNXC1	proteasome core complex, beta-subunit complex
go:0019804	MNXC1	quinolinate synthetase complex
go:0019812	MNXC3	Type I site-specific deoxyribonuclease complex|Type I restriction enzyme complex
go:0019813	MNXC3	Type III site-specific deoxyribonuclease complex|Type III restriction enzyme complex
go:0019814	MNXC1	immunoglobulin complex
go:0019815	MNXC20	B cell receptor complex|BCR complex|B lymphocyte receptor complex|B-cell receptor complex|B-lymphocyte receptor complex|immunoglobulin complex, membrane bound
go:0019816	MNXC1	B cell receptor accessory molecule complex
go:0019819	MNXC13	P1 peroxisome
go:0019820	MNXC13	P2 peroxisome
go:0019821	MNXC13	P3 peroxisome
go:0019822	MNXC13	P4 peroxisome
go:0019823	MNXC13	P5 peroxisome
go:0019824	MNXC13	P6 peroxisome
go:0019861	MNXC28	flagellum
go:0019866	MNXC1	organelle inner membrane
go:0019867	MNXC21	outer membrane
go:0019897	MNXC20	extrinsic to plasma membrane|peripheral plasma membrane protein
go:0019898	MNXC1	extrinsic to membrane|peripheral membrane protein
go:0019907	MNXC6	cyclin-dependent protein kinase activating kinase holoenzyme complex|CAK complex|CDK-activating kinase complex
go:0019908	MNXC6	nuclear cyclin-dependent protein kinase holoenzyme complex
go:0019910	MNXC4	mitochondrial pyruvate dehydrogenase (lipoamide) phosphatase complex
go:0020002	MNXC2	host cell plasma membrane
go:0020003	MNXC2	symbiont-containing vacuole|parasitophorous vacuole
go:0020004	MNXC1	symbiont-containing vacuolar space|parasitophorous vacuolar space
go:0020005	MNXC2	symbiont-containing vacuole membrane|parasitophorous vacuolar membrane
go:0020006	MNXC2	symbiont-containing vacuolar membrane network|symbiont-containing vacuole membrane network|parasitophorous vacuolar membrane network
go:0020007	MNXC1	apical complex
go:0020008	MNXC1	rhoptry
go:0020009	MNXC1	microneme
go:0020010	MNXC1	conoid
go:0020011	MNXC25	apicoplast
go:0020015	MNXC23	glycosome
go:0020016	MNXC28	flagellar pocket
go:0020017	MNXC20	flagellar membrane
go:0020018	MNXC20	flagellar pocket membrane
go:0020020	MNXC17	food vacuole|digestive vacuole
go:0020022	MNXC29	acidocalcisome|metachromatic granule|volutin granule
go:0020023	MNXC4	kinetoplast
go:0020025	MNXC1	subpellicular microtubule
go:0020026	MNXC3	merozoite dense granule|dense body
go:0020030	MNXC2	infected host cell surface knob
go:0020031	MNXC1	polar ring of apical complex|upper polar ring of apical complex|anterior polar ring of apical complex
go:0020032	MNXC1	basal ring of apical complex|lower polar ring of apical complex|preconoidal ring of apical complex|posterior polar ring of apical complex
go:0020036	MNXC2	Maurer's cleft|Maurers cleft
go:0020038	MNXC1	subpellicular network
go:0020039	MNXC1	pellicle
go:0022623	MNXC1	proteasome-activating nucleotidase complex|PAN
go:0022624	MNXC1	proteasome accessory complex
go:0022625	MNXC3	cytosolic large ribosomal subunit
go:0022626	MNXC3	cytosolic ribosome
go:0022627	MNXC3	cytosolic small ribosomal subunit
go:0022628	MNXC8	chloroplast large ribosomal subunit|chloroplast ribosomal LSU complex|chloroplast ribosomal large subunit complex
go:0022629	MNXC8	chloroplast small ribosomal subunit|chloroplast ribosomal SSU complex|chloroplast ribosomal small subunit complex
go:0030008	MNXC15	TRAPP complex|transport protein particle
go:0030014	MNXC1	CCR4-NOT complex
go:0030015	MNXC1	CCR4-NOT core complex
go:0030016	MNXC3	myofibril|striated muscle fibre|striated muscle fiber
go:0030017	MNXC3	sarcomere
go:0030018	MNXC3	Z disc|Z band|Z disk|Z line
go:0030027	MNXC1	lamellipodium
go:0030054	MNXC1	cell junction
go:0030055	MNXC1	cell-substrate junction|cell-matrix junction
go:0030056	MNXC20	hemidesmosome
go:0030057	MNXC1	desmosome|spot desmosome|macula adherens
go:0030061	MNXC5	mitochondrial crista|mitochondrial cristae
go:0030062	MNXC4	mitochondrial tricarboxylic acid cycle enzyme complex
go:0030063	MNXC1	murein sacculus|peptidoglycan layer
go:0030064	MNXC1	cell wall inner membrane
go:0030074	MNXC1	thylakoid (sensu Proteobacteria)
go:0030075	MNXC1	plasma membrane-derived thylakoid
go:0030076	MNXC1	light-harvesting complex
go:0030077	MNXC3	plasma membrane light-harvesting complex
go:0030078	MNXC3	light-harvesting complex, core complex
go:0030079	MNXC3	light-harvesting complex, peripheral complex
go:0030080	MNXC3	B875 antenna complex|LH1 complex|light harvesting complex I
go:0030081	MNXC3	B800-820 antenna complex|LH3 complex|light harvesting complex III
go:0030082	MNXC3	B800-850 antenna complex|light harvesting complex II|LH2 complex
go:0030083	MNXC8	PSI associated light-harvesting complex I, LHCIa subcomplex
go:0030084	MNXC8	PSI associated light-harvesting complex I, LHCIb subcomplex
go:0030085	MNXC8	PSII associated light-harvesting complex II, peripheral complex, LHCIIb subcomplex
go:0030086	MNXC1	PSII associated light-harvesting complex II, core complex, LHCIIa subcomplex
go:0030087	MNXC1	PSII associated light-harvesting complex II, core complex, LHCIIc subcomplex
go:0030088	MNXC1	PSII associated light-harvesting complex II, core complex, LHCIId subcomplex
go:0030089	MNXC1	phycobilisome
go:0030093	MNXC8	chloroplast photosystem I
go:0030094	MNXC20	plasma membrane-derived photosystem I|plasma membrane photosystem I
go:0030095	MNXC8	chloroplast photosystem II
go:0030096	MNXC20	plasma membrane-derived thylakoid photosystem II|plasma membrane photosystem II
go:0030112	MNXC1	glycocalyx
go:0030114	MNXC1	slime layer
go:0030115	MNXC1	S-layer
go:0030117	MNXC3	membrane coat
go:0030118	MNXC3	clathrin coat|clathrin cage
go:0030119	MNXC3	AP-type membrane coat adaptor complex
go:0030120	MNXC3	vesicle coat
